,rxn
0,AACPS1
1,AACPS2
2,AACPS3
3,AACPS4
4,AACPS5
5,ABTA
6,ABUTD
7,ACCOACr
8,ACGK
9,ACGS
10,ACHBS
11,ACLS
12,ACOATA
13,ACODA
14,ACOTA
15,ADA
16,ADCL
17,ADCS
18,ADD
19,ADK1
20,ADK3
21,ADMDCr
22,ADNK1
23,ADPT
24,ADSK
25,ADSL1r
26,ADSL2r
27,ADSS
28,AGMHE
29,AGPR
30,AICART
31,AIRC2
32,AIRC3
33,ALAALAr
34,ALAR
35,ALATAD2
36,ALATAL
37,ALATAL2
38,AMPN
39,ANPRT
40,ANS
41,APRAUR
42,ARGSL
43,ARGSS
44,ASAD
45,ASNN
46,ASNS1
47,ASNS2
48,ASP1DC
49,ASPCT
50,ASPK
51,ASPO3
52,ASPO4
53,ASPO5
54,ASPO6
55,ASPT
56,ASPTA
57,AST
58,ATPHYD
59,ATPPRT
60,BETALDHx
61,BETALDHy
62,BPNT
63,BSORx
64,BSORy
65,C120SN
66,C140SN
67,C141SN
68,C160SN
69,C161SN
70,C181SN
71,CAT
72,CBMK
73,CBPS
74,CDAPPAEC
75,CHORM
76,CHORS
77,CLPNSEC
78,CMPN
79,CSND
80,CTPS2
81,CYSS
82,CYSTL
83,cytd
84,CYTDK2
85,CYTK1
86,CYTK2
87,DAAD
88,DADA
89,DADK
90,DAGKEC
91,DAPDC
92,DAPE
93,DASYNEC
94,DB4PS
95,DCTPD
96,DCYTD
97,DDPA
98,DGK1
99,DHAD1
100,DHAD2
101,DHDPRy
102,DHDPS
103,DHFR
104,DHFS
105,DHNPA2
106,DHORD2
107,DHORD5
108,DHORTS
109,DHPPDA2
110,DHPS2
111,DHQD
112,DHQS
113,DKMPPD
114,DKMPPD2
115,DNMPPA
116,DNTPPA
117,DPCOAK
118,DPR
119,DTMPK
120,DURIK1
121,DURIPP
122,DUTPDP
123,EDTXS1
124,EDTXS2
125,ETHAAL
126,FAO1
127,FAO2
128,FMNAT
129,FTHFD
130,G1PACT
131,G5SADs
132,G5SD
133,GARFT
134,GART
135,GCALDD
136,GF6PTA
137,GHMT2
138,GK1
139,GLNS
140,GLU5K
141,GLUDC
142,GLUDy
143,GLUN
144,GLUPRT
145,GLUR
146,GLUSy
147,GLYATi
148,GLYCL
149,GLYOX
150,GMHEPAT
151,GMHEPK
152,GMHEPPA
153,GMPR
154,GMPS2
155,GPDDA2
156,GPDDA4
157,GSNK
158,GSPMDA
159,GSPMDS
160,GTPCI
161,GTPCII2
162,GUAD
163,GUAPRT
164,histd
165,HISTP
166,HPPK2
167,HSDy
168,HSK
169,HSST
170,HSTPT
171,HXPRT
172,HYPOE
173,IG3PS
174,IGPDH
175,IGPS
176,ILETA
177,IMPC
178,IMPD
179,INSK
180,IPMD
181,IPPMIa
182,IPPMIb
183,IPPS
184,KARA1i
185,KARA2i
186,KAS14
187,KAS15
188,KAS16
189,KDOCT2
190,KDOPP
191,KDOPS
192,LEUTAi
193,LGTHL
194,LPADSS
195,LPLIPA1
196,LPLIPA2
197,LPLIPA3
198,LPLIPA4
199,LPLIPA5
200,LPLIPA6
201,LPSSYNEC
202,MACPD
203,MCOATA
204,MDRPD
205,METAT
206,METS
207,MGSA
208,MOAT
209,MOAT2
210,MOHMT
211,MTAN
212,MTHFC
213,MTHFD
214,MTHFR2
215,MTRI
216,MTRK
217,NACODA
218,NADDP
219,NADK
220,NADPPPS
221,NADS1
222,NAMNPP
223,NDPK1
224,NDPK2
225,NDPK3
226,NDPK4
227,NDPK5
228,NDPK6
229,NDPK7
230,NDPK8
231,NMNAT
232,NMNDA
233,NMNN
234,NNAM
235,NNAT
236,NNDPR
237,NTD1
238,NTD10
239,NTD11
240,NTD2
241,NTD3
242,NTD4
243,NTD5
244,NTD6
245,NTD7
246,NTD8
247,NTD9
248,NTPP1
249,NTPP2
250,NTPP3
251,NTPP4
252,NTPP5
253,NTPP6
254,NTPP7
255,NTPP8
256,NTPTP1
257,NTPTP2
258,OCBT
259,OMCDC
260,OMPDC
261,ORNDC
262,ORNTA
263,ORPT
264,P5CD
265,P5CR
266,PANTS
267,PAPAEC
268,PAPPT3
269,PAPSR
270,PASYNEC
271,PDXPP
272,PEPTEC
273,PGAMT
274,PGCD
275,PGPPEC
276,PGSAEC
277,PHETA1
278,PLIPA1
279,PLIPA2
280,PMDPHT
281,PNTK
282,PPCDC
283,PPNCL2
284,PPND
285,PPNDH
286,PPTGS
287,PRAGSr
288,PRAIi
289,PRAIS
290,PRAMPC
291,PRASCS
292,PRATPP
293,PRFGS
294,PRMICIi
295,PROD2
296,PRPPS
297,PSCVT
298,PSDEC
299,PSERT
300,PSPL
301,PSSAEC
302,PTPATi
303,PTRCTA
304,PUNP1
305,PUNP2
306,PUNP3
307,PUNP4
308,PUNP5
309,PUNP6
310,PUNP7
311,PYAM5PO
312,PYDAMK
313,PYDXK
314,PYDXNK
315,PYDXPP
316,PYNP2r
317,QULNS
318,RBFK
319,RBFSa
320,RBFSb
321,RNDR1
322,RNDR2
323,RNDR3
324,RNDR4
325,RNTR1
326,RNTR2
327,RNTR3
328,RNTR4
329,S7PI
330,SADH
331,SADT2
332,SDPDS
333,SDPTA
334,SERAT
335,SERDL
336,SGDS
337,SGSAD
338,SHK3Dr
339,SHKK
340,SHSL1
341,SOTA
342,SPMS
